sim_time,sys_total_wait_time
1145.0,27525.0
1150.0,23655.0
1155.0,22712.0
1160.0,23307.0
1165.0,21694.0
1170.0,22356.0
1175.0,23521.0
1180.0,24180.0
1185.0,25065.0
1190.0,25968.0
1195.0,26577.0
1200.0,27709.0
1205.0,28550.0
1210.0,28620.0
1215.0,28524.0
1220.0,25425.0
1225.0,23784.0
1230.0,23093.0
1235.0,22199.0
1240.0,23164.0
1245.0,23582.0
1250.0,24305.0
1255.0,24596.0
1260.0,25300.0
1265.0,26338.0
1270.0,27160.0
1275.0,28364.0
1280.0,29242.0
1285.0,29806.0
1290.0,30957.0
1295.0,31949.0
1300.0,32429.0
1305.0,32107.0
1310.0,33042.0
1315.0,34386.0
1320.0,35155.0
1325.0,36140.0
1330.0,35770.0
1335.0,35716.0
1340.0,35977.0
1345.0,36911.0
1350.0,37637.0
1355.0,38197.0
1360.0,38999.0
1365.0,39123.0
1370.0,40380.0
1375.0,41446.0
1380.0,41944.0
1385.0,42897.0
1390.0,43739.0
1395.0,44918.0
1400.0,46000.0
1405.0,46424.0
1410.0,45692.0
1415.0,45106.0
1420.0,44514.0
1425.0,45270.0
1430.0,44790.0
1435.0,45686.0
1440.0,46765.0
1445.0,47783.0
1450.0,48959.0
1455.0,49694.0
1460.0,50674.0
1465.0,46631.0
1470.0,40899.0
1475.0,38870.0
1480.0,37257.0
1485.0,37381.0
1490.0,38221.0
1495.0,39079.0
1500.0,40251.0
1505.0,39151.0
1510.0,39326.0
1515.0,39813.0
1520.0,40224.0
1525.0,41112.0
1530.0,41751.0
1535.0,42666.0
1540.0,43070.0
1545.0,35150.0
1550.0,33106.0
1555.0,33368.0
1560.0,34000.0
1565.0,33913.0
1570.0,34459.0
1575.0,35134.0
1580.0,35430.0
1585.0,35409.0
1590.0,36129.0
1595.0,36484.0
1600.0,37368.0
1605.0,38413.0
1610.0,39134.0
1615.0,39898.0
1620.0,40765.0
1625.0,41173.0
1630.0,41043.0
1635.0,41568.0
1640.0,41849.0
1645.0,41502.0
1650.0,42271.0
1655.0,42261.0
1660.0,41650.0
1665.0,41556.0
1670.0,42126.0
1675.0,43079.0
1680.0,43508.0
1685.0,44443.0
1690.0,45424.0
1695.0,46107.0
1700.0,46484.0
1705.0,47678.0
1710.0,48874.0
1715.0,48908.0
1720.0,48960.0
1725.0,43848.0
1730.0,39954.0
1735.0,39866.0
1740.0,40707.0
1745.0,41252.0
1750.0,41980.0
1755.0,42695.0
1760.0,43594.0
1765.0,44410.0
1770.0,45019.0
1775.0,45931.0
1780.0,46660.0
1785.0,46879.0
1790.0,48127.0
1795.0,48043.0
1800.0,48321.0
1805.0,48492.0
1810.0,48529.0
1815.0,49036.0
1820.0,48782.0
1825.0,37870.0
1830.0,23750.0
1835.0,15690.0
1840.0,12785.0
1845.0,13158.0
1850.0,13745.0
1855.0,14470.0
1860.0,15243.0
1865.0,16133.0
1870.0,17310.0
1875.0,16249.0
1880.0,15101.0
1885.0,15361.0
1890.0,15958.0
1895.0,17135.0
1900.0,17387.0
1905.0,18421.0
1910.0,19256.0
1915.0,19712.0
1920.0,20447.0
1925.0,21636.0
1930.0,22305.0
1935.0,23046.0
1940.0,23016.0
1945.0,23441.0
1950.0,24105.0
1955.0,25135.0
1960.0,26348.0
1965.0,27585.0
1970.0,27906.0
1975.0,28557.0
1980.0,29653.0
1985.0,30427.0
1990.0,31105.0
1995.0,29979.0
2000.0,27781.0
2005.0,25787.0
2010.0,24611.0
2015.0,25332.0
2020.0,26351.0
2025.0,26440.0
2030.0,26879.0
2035.0,27784.0
2040.0,24704.0
2045.0,20878.0
2050.0,20810.0
2055.0,21458.0
2060.0,20950.0
2065.0,21439.0
2070.0,18874.0
2075.0,19293.0
2080.0,19371.0
2085.0,19876.0
2090.0,20513.0
2095.0,20756.0
2100.0,21558.0
2105.0,22453.0
2110.0,23304.0
2115.0,20769.0
2120.0,17769.0
2125.0,17231.0
2130.0,11755.0
2135.0,11163.0
2140.0,11123.0
2145.0,11652.0
2150.0,10907.0
2155.0,11425.0
2160.0,12153.0
2165.0,12896.0
2170.0,12079.0
2175.0,12444.0
2180.0,12916.0
2185.0,13242.0
2190.0,13269.0
2195.0,13856.0
2200.0,14789.0
2205.0,15263.0
2210.0,15565.0
2215.0,16609.0
2220.0,17211.0
2225.0,17980.0
2230.0,18468.0
2235.0,19324.0
2240.0,20187.0
2245.0,18042.0
2250.0,18012.0
2255.0,18549.0
2260.0,19183.0
2265.0,19439.0
2270.0,20380.0
2275.0,18529.0
2280.0,14186.0
2285.0,12559.0
2290.0,12690.0
2295.0,13376.0
2300.0,13966.0
2305.0,12923.0
2310.0,12860.0
2315.0,11601.0
2320.0,11664.0
2325.0,12540.0
2330.0,13137.0
2335.0,13969.0
2340.0,14656.0
2345.0,13709.0
2350.0,13154.0
2355.0,12838.0
2360.0,13306.0
2365.0,13968.0
2370.0,15010.0
2375.0,15847.0
2380.0,15372.0
2385.0,15472.0
2390.0,16075.0
2395.0,15453.0
2400.0,15959.0
2405.0,15796.0
2410.0,16557.0
2415.0,16674.0
2420.0,14886.0
2425.0,14598.0
2430.0,15297.0
2435.0,15663.0
2440.0,16453.0
2445.0,17229.0
2450.0,17724.0
2455.0,17788.0
2460.0,16464.0
